Timestamp,Current_Price,Predicted_Price
1683678498,27736.01,27736.653760791673
1683678539,27734.67,27734.817288937917
1683678545,27734.67,27734.81488503969
1683678551,27734.67,27734.81488503969
1683678556,27742.99,27743.13492850311
1683678562,27743.0,27743.144928555346
1683678601,27769.98,27764.52218590745
1683678608,27774.33,27768.87133097377
1683678614,27774.34,27768.881329008404
1683678619,27777.04,27771.58079835991
1683678625,27772.36,27766.90171815063
1683678663,27753.34,27753.9666322885
1683678669,27753.34,27753.9666322885
1683678674,27753.34,27753.9666322885
1683678680,27730.0,27730.626105303363
1683678686,27701.37,27701.995458877296
1683678725,27708.71,27707.775666635593
1683678730,27717.77,27716.83536113381
1683678736,27721.4,27720.46523873078
1683678742,27730.0,27729.064948740124
1683678748,27731.12,27730.184910973898
1683678789,27733.25,27733.641546216993
1683678795,27738.18,27738.57161582019
1683678801,27738.18,27738.57161582019
1683678808,27738.17,27738.561615679006
1683678814,27733.31,27733.701547064094
1683678854,27724.31,27724.441919898967
1683678860,27720.5,27720.631901769935
1683678866,27722.66,27722.79191204781
1683678872,27731.8,27731.931955538446
1683678878,27731.81,27731.94195558603
1683678918,27735.51,27739.205077733222
1683678924,27733.94,27737.634868569156
1683678930,27733.93,27737.6248672369
1683678936,27733.94,27737.634868569156
1683678942,27733.93,27737.6248672369
1683678983,27748.79,27750.110554054794
1683678989,27735.87,27737.18993919705
1683678995,27733.28,27734.599815939964
1683679000,27736.85,27738.169985834866
1683679007,27738.82,27740.140079586396
1683679047,27733.28,27733.266063587736
1683679053,27733.28,27733.266063587736
1683679059,27753.32,27753.30605351732
1683679065,27753.32,27753.30605351732
1683679071,27753.33,27753.316053512295
1683679111,27758.95,27758.809748069212
1683679117,27757.36,27757.219756102677
1683679123,27757.37,27757.22975605215
1683679129,27764.16,27764.019721745717
1683679135,27761.93,27761.789733012778
1683679177,27720.41,27720.486156123687
1683679182,27729.98,27730.056182415294
1683679188,27734.31,27734.38619431108
1683679194,27740.33,27740.40621084979
1683679201,27740.33,27740.403150161237
1683679243,27737.51,27734.44043870532
1683679248,27737.5,27734.430439811968
1683679255,27737.5,27734.430439811968
1683679262,27734.42,27731.35723989804
1683679268,27733.61,27730.547329347744
1683679309,27749.05,27749.771647765723
1683679316,27748.76,27749.48164022392
1683679322,27748.39,27749.10876650341
1683679328,27748.39,27749.10876650341
1683679334,27748.39,27749.10876650341
1683679374,27761.62,27761.84465783331
1683679381,27761.63,27761.859980970592
1683679388,27761.63,27761.859980970592
1683679394,27761.99,27762.21998395288
1683679400,27763.69,27763.919998035897
1683679440,27762.59,27761.156203817358
1683679447,27762.59,27761.156203817358
1683679453,27764.83,27763.396088132784
1683679459,27764.83,27763.396088132784
1683679465,27764.83,27763.396088132784
1683679506,27775.58,27765.433177590723
1683679512,27775.45,27765.303225081607
1683679518,27768.77,27758.625665382537
1683679524,27745.46,27735.324180863776
1683679530,27742.84,27732.705137987792
1683679570,27725.85,27726.120576722067
1683679577,27724.54,27724.81056393777
1683679583,27726.57,27726.84058374855
1683679588,27726.57,27726.84058374855
1683679594,27726.58,27726.850583846142
1683679636,27724.56,27726.02158522019
1683679642,27724.56,27726.02158522019
1683679648,27723.48,27724.941528284675
1683679654,27723.48,27724.941528284675
1683679660,27723.48,27724.941528284675
1683679702,27730.0,27728.93422462268
1683679707,27734.3,27733.234059356393
1683679713,27734.32,27733.254058587714
1683679719,27735.74,27734.674004011405
1683679725,27747.03,27745.963570091317
1683679770,27748.77,27720.51674315703
1683679775,27744.98,27716.730602061172
1683679781,27744.97,27716.720612242978
1683679788,27744.97,27716.720612242978
1683679794,27744.98,27716.730602061172
1683679835,27749.15,27748.24954634956
1683679841,27747.93,27747.029585938286
1683679847,27747.58,27746.679597295708
1683679853,27739.9,27738.999846509974
1683679859,27738.15,27737.249903297077
1683679902,27739.9,27741.09085346672
1683679908,27739.94,27741.130855183892
1683679914,27740.88,27742.0708955374
1683679920,27741.86,27743.050937608077
1683679926,27743.33,27744.521851046367
1683679968,27742.82,27742.945347017972
1683679974,27742.81,27742.93534697279
1683679980,27742.77,27742.897670852122
1683679987,27742.76,27742.887670806103
1683679993,27742.76,27742.887670806103
1683680034,27737.66,27738.35617071827
1683680039,27739.38,27740.07621388751
1683680045,27739.37,27740.048608316923
1683680051,27739.37,27740.048608316923
1683680058,27739.38,27740.058608561565
1683680098,27733.6,27732.802387374988
1683680105,27733.6,27732.800541766937
1683680111,27733.6,27732.800541766937
1683680117,27733.61,27732.810541478677
1683680123,27723.62,27722.820829453827
1683680165,27713.98,27713.261730097223
1683680171,27712.6,27711.881765863014
1683680177,27712.6,27711.881765863014
1683680183,27733.56,27732.841222637642
1683680189,27736.96,27736.24113451902
1683680229,27727.34,27726.113396102
1683680235,27727.34,27726.113396102
1683680241,27727.34,27726.113396102
1683680247,27727.34,27726.113396102
1683680253,27731.15,27729.92322755497
1683680294,27748.0,27748.081390547
1683680300,27743.36,27743.44137693693
1683680306,27743.37,27743.451376966263
1683680312,27743.36,27743.44137693693
1683680317,27743.37,27743.451376966263
1683680358,27745.98,27752.298663717695
1683680364,27745.98,27752.298663717695
1683680370,27745.98,27752.298663717695
1683680376,27745.99,27752.30866599502
1683680382,27746.03,27752.348675104324
1683680424,27755.32,27755.597280691385
1683680430,27754.14,27754.417268902973
1683680436,27754.14,27754.417268902973
1683680442,27754.14,27754.417268902973
1683680447,27758.23,27758.507309762816
1683680489,27749.64,27748.51137393385
1683680495,27751.27,27750.141307638918
1683680501,27751.28,27750.1513072322
1683680506,27751.27,27750.141307638918
1683680512,27751.27,27750.141307638918
1683680555,27751.27,27751.65462886267
1683680561,27751.27,27751.65462886267
1683680566,27751.28,27751.66462900127
1683680572,27751.28,27751.66462900127
1683680578,27751.28,27751.66462900127
1683680619,27751.28,27751.967465661073
1683680626,27758.18,27758.867636590596
1683680632,27758.18,27758.867636590596
